algorithm,run,checkpoint,error
adagrad,29,0.7,[0.02081634333351014]
adagrad,29,0.8,[0.02064915559113769]
adagrad,29,0.9,[0.020650348666921604]
adagrad,29,1.0,[0.020596878526788636]
adagrad,30,0.01,[0.18039999888426161]
adagrad,30,0.1,[0.1803999994590629]
adagrad,30,0.2,[0.18039999944506643]
adagrad,30,0.3,[0.18039999943027252]
adagrad,30,0.4,[0.1803999994144492]
adagrad,30,0.5,[0.18039999939575208]
adagrad,30,0.6,[0.18039999935727377]
adagrad,30,0.7,[0.1803999992261852]
adagrad,30,0.8,[0.1803999989351567]
adagrad,30,0.9,[0.18039999857651687]
adagrad,30,1.0,[0.18039999861789677]
adagrad,31,0.01,[0.0900096577758368]
adagrad,31,0.1,[0.08998371141079245]
adagrad,31,0.2,[0.08998328353189343]
adagrad,31,0.3,[0.08998026995326565]
adagrad,31,0.4,[0.08997735529708654]
adagrad,31,0.5,[0.08998075347287501]
adagrad,31,0.6,[0.08998292145445734]
adagrad,31,0.7,[0.08998076229752558]
adagrad,31,0.8,[0.0899823067257491]
adagrad,31,0.9,[0.08997832558031056]
adagrad,31,1.0,[0.08998067370946397]
adagrad,32,0.01,[0.04567017180340109]
adagrad,32,0.1,[0.04358656454552667]
adagrad,32,0.2,[0.042970973284656225]
adagrad,32,0.3,[0.042691493731884037]
adagrad,32,0.4,[0.042694201891914384]
adagrad,32,0.5,[0.04264889854557496]
adagrad,32,0.6,[0.04260377854601903]
adagrad,32,0.7,[0.0428512967022728]
adagrad,32,0.8,[0.042597250150432815]
adagrad,32,0.9,[0.04256643862792807]
adagrad,32,1.0,[0.042595802897245204]
adagrad,33,0.01,[0.03272666962477312]
adagrad,33,0.1,[0.024201862240512132]
adagrad,33,0.2,[0.022813811664562415]
adagrad,33,0.3,[0.022127424044442498]
adagrad,33,0.4,[0.02176312105580114]
adagrad,33,0.5,[0.021574662977901563]
adagrad,33,0.6,[0.02154498140179739]
adagrad,33,0.7,[0.021354121231618475]
adagrad,33,0.8,[0.021251508942494595]
adagrad,33,0.9,[0.02049518451587358]
adagrad,33,1.0,[0.019604718245814477]
adagrad,34,0.01,[0.032322681204916645]
adagrad,34,0.1,[0.017125246539655782]
adagrad,34,0.2,[0.016270209282081446]
adagrad,34,0.3,[0.015980522854065628]
adagrad,34,0.4,[0.015820228345886242]
adagrad,34,0.5,[0.01571673912200194]
adagrad,34,0.6,[0.01573151080756958]
adagrad,34,0.7,[0.015627474297109586]
adagrad,34,0.8,[0.015558046544342551]
adagrad,34,0.9,[0.015566295846442826]
adagrad,34,1.0,[0.015665290769781643]
adagrad,35,0.01,[0.034664425203198776]
adagrad,35,0.1,[0.019317907847817343]
adagrad,35,0.2,[0.018092562743152747]
adagrad,35,0.3,[0.017339291167177286]
adagrad,35,0.4,[0.016944410471299506]
adagrad,35,0.5,[0.016803980600778475]
adagrad,35,0.6,[0.016790358230507573]
adagrad,35,0.7,[0.016798066945810937]
adagrad,35,0.8,[0.016799462259041373]
adagrad,35,0.9,[0.016839578201387113]
adagrad,35,1.0,[0.016789681178904853]
adagrad,36,0.01,[0.0899895771392774]
adagrad,36,0.1,[0.08998449238497207]
adagrad,36,0.2,[0.08998270721985481]
adagrad,36,0.3,[0.08998145508269834]
adagrad,36,0.4,[0.08997477748363063]
adagrad,36,0.5,[0.08997706128576849]
adagrad,36,0.6,[0.08997612458004436]
adagrad,36,0.7,[0.08998208028577258]
adagrad,36,0.8,[0.08997785551792702]
adagrad,36,0.9,[0.0899755662648266]
adagrad,36,1.0,[0.08997359606364465]
adagrad,37,0.01,[0.033070527217764]
adagrad,37,0.1,[0.029417763215295743]
adagrad,37,0.2,[0.029136412061230705]
adagrad,37,0.3,[0.02911567984619509]
adagrad,37,0.4,[0.028945186322168106]
adagrad,37,0.5,[0.028801423951085287]
adagrad,37,0.6,[0.028924745536470675]
