algorithm,run,checkpoint,error
adam,13,0.2,"[(0.033333333333333326, 0.2286709521989483, 0.5223281383514404)]"
adam,13,0.3,"[(0.033333333333333326, 0.2699610883976766, 0.7826662063598633)]"
adam,13,0.4,"[(0.033333333333333326, 0.2993376916366556, 1.0460271835327148)]"
adam,13,0.5,"[(0.033333333333333326, 0.32410622853409266, 1.304231882095337)]"
adam,13,0.6,"[(0.033333333333333326, 0.3470530904714609, 1.5640842914581299)]"
adam,13,0.7,"[(0.033333333333333326, 0.36902601949675556, 1.823491096496582)]"
adam,13,0.8,"[(0.033333333333333326, 0.3905507797308696, 2.0827181339263916)]"
adam,13,0.9,"[(0.033333333333333326, 0.41177277431191633, 2.342156410217285)]"
adam,13,1.0,"[(0.033333333333333326, 0.4329607281134472, 2.6014351844787598)]"
adam,14,0.01,"[(0.09999999999999998, 0.4817626370143866, 0.026989459991455078)]"
adam,14,0.1,"[(0.033333333333333326, 0.13713387277521327, 0.2626330852508545)]"
adam,14,0.2,"[(0.033333333333333326, 0.18849045404792192, 0.524054765701294)]"
adam,14,0.3,"[(0.033333333333333326, 0.23427889060438675, 0.7849271297454834)]"
adam,14,0.4,"[(0.033333333333333326, 0.25196278216846824, 1.0479106903076172)]"
adam,14,0.5,"[(0.033333333333333326, 0.2802813233995863, 1.3080840110778809)]"
adam,14,0.6,"[(0.033333333333333326, 0.309339244751273, 1.5701260566711426)]"
adam,14,0.7,"[(0.033333333333333326, 0.3140894155764987, 1.8321216106414795)]"
adam,14,0.8,"[(0.033333333333333326, 0.3335901867983351, 2.0936996936798096)]"
adam,14,0.9,"[(0.033333333333333326, 0.3393266305119712, 2.3552067279815674)]"
adam,14,1.0,"[(0.033333333333333326, 0.3471451786237125, 2.6166489124298096)]"
adam,15,0.01,"[(0.0, 0.45453841100934766, 0.026911020278930664)]"
adam,15,0.1,"[(0.06666666666666665, 0.17203634521998876, 0.28241801261901855)]"
adam,15,0.2,"[(0.06666666666666665, 0.24835627907140934, 0.5432000160217285)]"
adam,15,0.3,"[(0.06666666666666665, 0.30770692605978023, 0.8035793304443359)]"
adam,15,0.4,"[(0.06666666666666665, 0.40605681948270345, 1.066190481185913)]"
adam,15,0.5,"[(0.06666666666666665, 0.5273535669533653, 1.3257017135620117)]"
adam,15,0.6,"[(0.06666666666666665, 0.6503759546102895, 1.586477279663086)]"
adam,15,0.7,"[(0.06666666666666665, 0.7663654254608114, 1.846846342086792)]"
adam,15,0.8,"[(0.06666666666666665, 0.8000412299805142, 2.107431173324585)]"
adam,15,0.9,"[(0.06666666666666665, 0.8665486585542959, 2.3677775859832764)]"
adam,15,1.0,"[(0.033333333333333326, 0.6140268616009311, 2.628216505050659)]"
adam,16,0.01,"[(0.23333333333333328, 0.574615021692095, 0.026783466339111328)]"
adam,16,0.1,"[(0.033333333333333326, 0.0697622509689823, 0.26111936569213867)]"
adam,16,0.2,"[(0.033333333333333326, 0.07073834424547715, 0.5212416648864746)]"
adam,16,0.3,"[(0.033333333333333326, 0.08102944878778784, 0.7809689044952393)]"
adam,16,0.4,"[(0.033333333333333326, 0.0748818670264935, 1.0420355796813965)]"
adam,16,0.5,"[(0.033333333333333326, 0.07962111728629616, 1.300004482269287)]"
adam,16,0.6,"[(0.033333333333333326, 0.08657180402936519, 1.5595388412475586)]"
adam,16,0.7,"[(0.033333333333333326, 0.0833951063164644, 1.819173812866211)]"
adam,16,0.8,"[(0.033333333333333326, 0.0902389946226284, 2.078420400619507)]"
adam,16,0.9,"[(0.033333333333333326, 0.08782512638760791, 2.337742328643799)]"
adam,16,1.0,"[(0.033333333333333326, 0.08821688632084432, 2.596912384033203)]"
adam,17,0.01,"[(0.19999999999999996, 0.5088307045326295, 0.026945829391479492)]"
adam,17,0.1,"[(0.09999999999999998, 0.24259318681045958, 0.2632427215576172)]"
adam,17,0.2,"[(0.09999999999999998, 0.4218407354742215, 0.5254430770874023)]"
adam,17,0.3,"[(0.09999999999999998, 0.5836808710112655, 0.7873051166534424)]"
adam,17,0.4,"[(0.09999999999999998, 0.7584872192786564, 1.0512487888336182)]"
adam,17,0.5,"[(0.09999999999999998, 0.8777659694702655, 1.3120636940002441)]"
adam,17,0.6,"[(0.09999999999999998, 1.0184623617072446, 1.5741090774536133)]"
adam,17,0.7,"[(0.09999999999999998, 1.1033078858144016, 1.8364388942718506)]"
adam,17,0.8,"[(0.09999999999999998, 1.1632462271528923, 2.0983169078826904)]"
adam,17,0.9,"[(0.09999999999999998, 1.2768964831704224, 2.3603639602661133)]"
adam,17,1.0,"[(0.09999999999999998, 1.3270417845000528, 2.6223793029785156)]"
adam,18,0.01,"[(0.16666666666666663, 0.462004817242063, 0.027095556259155273)]"
adam,18,0.1,"[(0.033333333333333326, 0.16590018595302297, 0.264176607131958)]"
adam,18,0.2,"[(0.06666666666666665, 0.3787604222274438, 0.5267579555511475)]"
adam,18,0.3,"[(0.06666666666666665, 0.45771597332673664, 0.7895491123199463)]"
adam,18,0.4,"[(0.06666666666666665, 0.4941357861116436, 1.0533831119537354)]"
adam,18,0.5,"[(0.06666666666666665, 0.51695529260451, 1.3142285346984863)]"
adam,18,0.6,"[(0.06666666666666665, 0.535063531380997, 1.577498435974121)]"
adam,18,0.7,"[(0.06666666666666665, 0.5508709315979693, 1.8402318954467773)]"
adam,18,0.8,"[(0.06666666666666665, 0.5694420518958797, 2.102701425552368)]"
adam,18,0.9,"[(0.06666666666666665, 0.591223637116158, 2.3651437759399414)]"
adam,18,1.0,"[(0.06666666666666665, 0.6171605308664915, 2.6270546913146973)]"
adam,19,0.01,"[(0.16666666666666663, 0.5008478068627119, 0.027285337448120117)]"
adam,19,0.1,"[(0.033333333333333326, 0.14112906838742045, 0.26523709297180176)]"
adam,19,0.2,"[(0.033333333333333326, 0.19097058417370436, 0.5289194583892822)]"
adam,19,0.3,"[(0.033333333333333326, 0.2374730810574193, 0.7925939559936523)]"
adam,19,0.4,"[(0.033333333333333326, 0.26897298061233293, 1.0575761795043945)]"
adam,19,0.5,"[(0.033333333333333326, 0.30435155814950343, 1.3189733028411865)]"
adam,19,0.6,"[(0.033333333333333326, 0.32795154145357697, 1.5814013481140137)]"
adam,19,0.7,"[(0.033333333333333326, 0.33002730011723264, 1.8437697887420654)]"
adam,19,0.8,"[(0.033333333333333326, 0.3529797678297489, 2.1057193279266357)]"
adam,19,0.9,"[(0.033333333333333326, 0.37369458205049977, 2.3676087856292725)]"
adam,19,1.0,"[(0.033333333333333326, 0.3723658700908373, 2.629826307296753)]"
adam,20,0.01,"[(0.19999999999999996, 0.5601418621880139, 0.027069568634033203)]"
adam,20,0.1,"[(0.06666666666666665, 0.2170337869250806, 0.2635214328765869)]"
adam,20,0.2,"[(0.06666666666666665, 0.3404020404948176, 0.5255675315856934)]"
adam,20,0.3,"[(0.06666666666666665, 0.4260037208784318, 0.7872524261474609)]"
adam,20,0.4,"[(0.06666666666666665, 0.49282035740444463, 1.050506591796875)]"
adam,20,0.5,"[(0.06666666666666665, 0.5513470728886273, 1.3122036457061768)]"
adam,20,0.6,"[(0.06666666666666665, 0.6052930284778874, 1.5748622417449951)]"
adam,20,0.7,"[(0.06666666666666665, 0.6571331833440414, 1.8374345302581787)]"
adam,20,0.8,"[(0.06666666666666665, 0.7062664148239607, 2.0999956130981445)]"
adam,20,0.9,"[(0.06666666666666665, 0.7534305706334662, 2.3616445064544678)]"
adam,20,1.0,"[(0.06666666666666665, 0.8013158612737346, 2.62378191947937)]"
adam,21,0.01,"[(0.23333333333333328, 0.4747265870535186, 0.027150869369506836)]"
adam,21,0.1,"[(0.0, 0.029387298840912634, 0.2642669677734375)]"
adam,21,0.2,"[(0.0, 0.03892466056891535, 0.526902437210083)]"
adam,21,0.3,"[(0.033333333333333326, 0.054160113385914796, 0.7897751331329346)]"
adam,21,0.4,"[(0.033333333333333326, 0.07665457367064839, 1.054241418838501)]"
adam,21,0.5,"[(0.033333333333333326, 0.09018315235825791, 1.316807746887207)]"
adam,21,0.6,"[(0.033333333333333326, 0.10207590669533372, 1.5807948112487793)]"
adam,21,0.7,"[(0.033333333333333326, 0.09235286878908473, 1.8440577983856201)]"
adam,21,0.8,"[(0.033333333333333326, 0.09931767960826797, 2.107464075088501)]"
adam,21,0.9,"[(0.033333333333333326, 0.10416977005862743, 2.3704872131347656)]"
adam,21,1.0,"[(0.033333333333333326, 0.09938015878511987, 2.633408308029175)]"
adam,22,0.01,"[(0.16666666666666663, 0.4328919433100863, 0.02717423439025879)]"
adam,22,0.1,"[(0.0, 0.02176652590931755, 0.26384925842285156)]"
adam,22,0.2,"[(0.033333333333333326, 0.14120941462417838, 0.5262436866760254)]"
adam,22,0.3,"[(0.033333333333333326, 0.09254571217288145, 0.7883508205413818)]"
adam,22,0.4,"[(0.033333333333333326, 0.2275288252008772, 1.0524041652679443)]"
adam,22,0.5,"[(0.033333333333333326, 0.3037020321841392, 1.3148524761199951)]"
adam,22,0.6,"[(0.033333333333333326, 0.3531992603909078, 1.5786120891571045)]"
adam,22,0.7,"[(0.033333333333333326, 0.38860800223557906, 1.842759370803833)]"
adam,22,0.8,"[(0.033333333333333326, 0.42217488735084585, 2.106480836868286)]"
adam,22,0.9,"[(0.033333333333333326, 0.4655668448629467, 2.3702335357666016)]"
adam,22,1.0,"[(0.033333333333333326, 0.515150930581545, 2.6340622901916504)]"
adam,23,0.01,"[(0.19999999999999996, 0.46477678459664773, 0.027228593826293945)]"
adam,23,0.1,"[(0.06666666666666665, 0.27568778535910893, 0.26485705375671387)]"
adam,23,0.2,"[(0.06666666666666665, 0.40783337017530913, 0.5282654762268066)]"
